名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京建外soho西区距离,北京建外soho西区时间
六月花园咖啡馆,https://www.dianping.com/shop/Hapc1eDWAKBf6j4w,中关村东路16号院龙湖唐宁ONE2号A123号商铺,[北京],"116.334871,39.988596",62423421,2022/11/8 17:03,8.55 km,23 min,13.15 km,54 min,18.45 km,75 min
MindMaps Coffee,https://www.dianping.com/shop/G8GeUu3GYErk2ILj,玉泉山路普安店村213号（艺林丰腾会议中心旁）,[北京],"116.407387,39.904179",18600071157,2022/11/8 17:02,Error,Error,Error,Error,Error,Error
志业咖啡 vocation coffee,https://www.dianping.com/shop/FU0O2MrNWCKiUQyN,西山庭院东北门商业街,[北京],"116.274901,40.017962",13671122973,2022/11/8 17:02,5.43 km,17 min,7.27 km,29 min,Error,Error
OKCOFFEE 福气咖啡,https://www.dianping.com/shop/EIUygONxrEhteMsB,中关村大街甲28号海淀文化艺术大厦B座7层,[北京],"116.319736,39.976470",13811512950,2022/11/8 17:01,8.65 km,25 min,10.69 km,46 min,Error,Error
知岛书店·咖啡·自习·办公,https://www.dianping.com/shop/l22cT8TcbJcFUUYw,苏州街中关村创业大街2号楼一楼,[北京],"116.306640,39.983620",18519293112,2022/11/8 16:59,8.65 km,20 min,11.35 km,41 min,Error,Error
啾KTOY 串烧·酒屋,https://www.dianping.com/shop/H5fqQ05AwEYobASu,安定门街道花园胡同三号城市空间1921文化产业园内野风筝南侧楼内一层,[北京],"116.405015,39.947720",13521744386,2022/11/8 13:44,17.34 km,32 min,19.81 km,69 min,Error,Error
新禧粤·烧鹅,https://www.dianping.com/shop/HaOXRjGBrAavB2YU,王家园胡同16号1层6号,[北京],"116.438589,39.930770",85838385,2022/11/4 13:39,22.31 km,41 min,24.78 km,97 min,Error,Error
阿惹妞火塘·篝火彝族风情野生菌铜锅宴,https://www.dianping.com/shop/G2tprhjMq9FJbYbH,人民北路西门村委会6组水碓村24号,[大理市],"100.153962,25.696129",17787239257,2022/11/3 9:17,,,,,,
芳姐炸串儿铁板烧,https://www.dianping.com/shop/l1tAY9mfCSK3lllb,"金台路红庙北里甲14号楼1楼105号底商（近6号线金台路地铁站C口,小河南）",[北京],"116.478769,39.922177",17710140530,2022/11/2 22:19,30.34 km,55 min,31.08 km,104 min,Error,Error
fudi会员商店,https://www.dianping.com/shop/l6uZwoYwB7OoBnHd,三间房东路4号2层,[北京],"116.575422,39.923148",86488678,2022/11/2 13:41,32.31 km,67 min,34.32 km,111 min,Error,Error
晚邂荟·上海菜,https://www.dianping.com/shop/k8xn0KM3BC6T4eGO,酒仙桥路18号颐堤港1层L1-50A号,[北京],"116.491525,39.970101",84579682,2022/11/1 11:09,27.25 km,45 min,27.99 km,100 min,11.65 km,39 min
马记永·兰州牛肉面,https://www.dianping.com/shop/k16iNuaJzfQflU6i,农大南路北京华联上地购物中心B1-03号商铺,[北京],"116.311240,40.028589",13163543858,2022/10/31 19:39,2.06 km,9 min,4.13 km,20 min,28.69 km,90 min
楸园咖啡CAFE,https://www.dianping.com/shop/l2HVX6jmkj5wRpa6,人民北路有风小院旁,[大理市],"100.191610,25.639156",18213381103,2022/10/21 11:31,,,,,,
下关李氏烤卤,https://www.dianping.com/shop/k7XeFs9DtxZ0CkZc,兴国路干休所旁租房（干休所旁）,[大理市],"100.219586,25.595607",8879281,2022/10/21 11:09,,,,,,
翻豆腐,https://www.dianping.com/shop/l6hRdtTt136Aebz3,绿玉社区弘圣路6-117号,[大理市],"100.159257,25.671817",15877771778,2022/10/20 12:34,,,,,,
非凡油条,https://www.dianping.com/shop/iHAplJR5PiZeuyfB,大理古城复兴路553号,[大理市],"111.332652,40.189113",13926436831,2022/10/20 9:50,,,,,,
阿汪私家厨房,https://www.dianping.com/shop/ig9ugEdWG60LtNHw,福安巷61号（近四季客栈）,[大理市],"100.168487,25.694279",13577283430,2022/10/20 9:42,,,,,,
狂奔的潼关肉夹馍,https://www.dianping.com/shop/laFhDZSrPSq4nHGL,月溪村北路洱海门大院子村主干道秋林客栈东第2间商铺,[大理市],"100.172001,25.696936",13162182106,2022/10/19 10:45,,,,,,
CHIMIDO柴米多农场餐厅,https://www.dianping.com/shop/G1eupQ9QAGrgbSVV,叶榆路204号（叶榆路与人民路交叉口往北50米路西）,[大理市],"100.166309,25.695403",2569967,2022/10/18 14:04,,,,,,
爱膳菌锅锅,https://www.dianping.com/shop/G5i30PKCB6yRnGek,太和街道214国道阳南村纸厂旁,[大理市],"100.206661,25.620408",2695555,2022/10/18 14:04,,,,,,
山林草木酒馆 Woods and Weeds,https://www.dianping.com/shop/H4f5rTjV7PLTlIzO,人民路醉琉璃北行10米路东,[大理市],,,2022/10/18 14:03,,,,,,
普通面包社 normal bread,https://www.dianping.com/shop/k6jq8mSZsVWULog1,广武路102号,[大理市],"100.163566,25.697855",17874604151,2022/10/18 14:03,,,,,,
唐咖精品咖啡,https://www.dianping.com/shop/H2TvYuAkBBASslG7,大理镇古城人民路350号,[大理市],"100.169963,25.688813",18183729372,2022/10/18 14:02,,,,,,
柿子树咖啡馆,https://www.dianping.com/shop/l5WqSN39kTIiRSz0,护国路164号,[大理市],"100.164013,25.694155",19187899951,2022/10/18 14:02,,,,,,
海豚阿德书店,https://www.dianping.com/shop/G297FFqloTG5wVfe,苍坪街床单厂艺术区D栋2楼,[大理市],"100.165469,25.690029",2526230,2022/10/18 13:55,,,,,,
郑何适小厨,https://www.dianping.com/shop/k5D96XffBEgbfNW0,大理镇大理古城红龙井红龙巷B02商铺,[大理市],"100.160528,25.689908",13601262809,2022/10/18 10:23,,,,,,
羊台咖啡·西餐简餐,https://www.dianping.com/shop/GahBKMVNmunbnIq6,十亩喜心主屋五楼,[大理市],"100.243877,25.560547",19169075882,2022/10/17 16:05,,,,,,
BING'S,https://www.dianping.com/shop/k4qT9KqxUIP1xhX9,新民路11号,[大理市],"106.691190,35.539147",19912721804,2022/10/17 16:05,,,,,,
SEA SEE  Coffee Practice,https://www.dianping.com/shop/H4qC19r1EqelhmzU,环海西路seasee海景民宿内,[大理市],"120.381564,27.135958",19187289329,2022/10/17 16:04,,,,,,
洲咖啡 CoffeeClash,https://www.dianping.com/shop/iIr1DjIymAyqxmX1,城北村106号,[喜洲],"100.137641,25.857129",19187754349,2022/10/17 16:04,,,,,,
佩索阿田园咖啡馆,https://www.dianping.com/shop/H7LaUX2FSDM4kR2j,市坪街转角楼向东50米,[喜洲],"100.134312,25.854822",13786326339,2022/10/17 16:04,,,,,,
ONE STEP 咖啡美术馆,https://www.dianping.com/shop/l2nuuNBSJr7SZ5oe,大丽线洱朵民宿西侧二楼,[大理市],"100.149460,25.774074",19187298509,2022/10/17 16:04,,,,,,
大理双廊农民画社（鸡窝）咖啡馆,https://www.dianping.com/shop/k8l8tFT6gyGYxRdm,043乡道双廊镇伙山,[大理市],"100.219839,25.937741",15969083364,2022/10/17 16:04,,,,,,
格外小馆,https://www.dianping.com/shop/H26gjwNpz0VktugA,民族文化街,[双廊],"100.192633,25.913696",17387228078,2022/10/17 16:03,,,,,,
山茧咖啡,https://www.dianping.com/shop/k5N5Omu9RIHpQU2v,环海东路点心园餐厅东50米,[双廊],"100.183037,25.930511",19987217389,2022/10/17 16:03,,,,,,
La mure法式甜品面包店,https://www.dianping.com/shop/l4x23W4sXh1ljopM,上末村1806小镇a2-005室,[大理市],"100.181210,25.655455",13577130173,2022/10/17 14:20,,,,,,
后院西餐厅,https://www.dianping.com/shop/G4YzDSlz3Yj8XelU,洪武路大理古城城中城KTV隔壁,[大理市],"100.164000,25.694836",13565450000,2022/10/17 14:17,,,,,,
大猫面包·咖啡,https://www.dianping.com/shop/l3e0ksseFL3pFr43,东门村323号,[大理市],"100.170989,25.699976",2515312,2022/10/17 14:17,,,,,,
欢雀,https://www.dianping.com/shop/H4oQTNxVMDB2H6fw,大理古城洱海门洪武路大院子村18号漫古茶叶旁,[大理市],"100.172001,25.696936",17608728222,2022/10/17 14:17,,,,,,
云泽杜氏汤圆,https://www.dianping.com/shop/H76uYvd5ZxhRMWby,洱河北路下关镇正阳时代广场朝阳街Z3-11、Z3-12号商铺,[大理市],"100.215403,25.588079",18488709564,2022/10/16 14:18,,,,,,
下关李氏烤卤,https://www.dianping.com/shop/H7rQxsn0Vm00WlTo,中丞街寿康诊所对面,[大理市],"100.211150,25.592086",13769202537,2022/10/16 14:16,,,,,,
三月街夜市,https://www.dianping.com/shop/jGMe59U4n4Djd0Bq,观音路中和坊酒店南200米,[大理市],"100.148694,25.693371",,2022/10/16 12:48,,,,,,
Chinchin小酒馆·食堂,https://www.dianping.com/shop/G4GfmJIKZOqnrRh1,学府路31号,[大理市],"111.840024,31.777506",19187237680,2022/10/14 15:53,,,,,,
杨记饵块,https://www.dianping.com/shop/G512ylE01KFSVXtu,大理古城广武路35号,[大理市],"100.164518,25.695164",13577216648,2022/10/13 18:00,,,,,,
百米粒,https://www.dianping.com/shop/i7GdYdarQWwWUDXq,弘圣路12号,[大理市],"100.156226,25.675552",5363134,2022/10/11 19:35,,,,,,
正宗开远米线,https://www.dianping.com/shop/iLVbyztdbnmJE3W7,平等路116号(名邦客庄旁),[大理市],"100.159687,25.697893",15108665167,2022/10/11 14:35,,,,,,
正宗保山铜瓢牛肉,https://www.dianping.com/shop/k1dfjW1Yhyawz1QI,开发区五台路2号大理站正对面祥和大酒店后门,[大理市],"100.250631,25.589423",18687232225,2022/10/11 14:34,,,,,,
鸿燕老店,https://www.dianping.com/shop/k7SDx7xGZp08MiCx,复兴路311号(云南白药店对面),[大理市],"100.301614,25.678466",,2022/10/11 14:34,,,,,,
朴石烘焙 SIMPLE STONE BAKERY,https://www.dianping.com/shop/G9PV91qeLAhYKyn7,弘圣路19-31号,[大理市],"100.155748,25.676220",19188131931,2022/10/11 14:33,,,,,,
桃红小馆·特色大理菜·小菜小酒小馆,https://www.dianping.com/shop/k81hav5SISlWJPBq,"大理古城人民路下段420号（嘉华鲜花饼斜对面,靠近人民路和叶榆路交叉口,靠近洱海门）",[大理市],"100.167100,25.695204",19187742030,2022/10/11 14:33,,,,,,
北京王府井希尔顿酒店·秦唐中餐厅Chynna,https://www.dianping.com/shop/G3A7ACLxnCHd2xB2,王府井东街8号北京王府井希尔顿酒店5楼秦唐中餐厅,[北京],"116.413312,39.914845",58128988,2022/10/5 19:50,20.95 km,48 min,23.42 km,91 min,5.19 km,24 min
浙嵊蒸小笼·杭州小笼包,https://www.dianping.com/shop/H9wx0fPVxVlFEFSg,和平里西街11号创新楼B座地下一层B1-A9号,[北京],"116.419638,39.952255",13515850189,2022/9/29 21:43,18.72 km,35 min,21.19 km,73 min,9.10 km,36 min
鸟三郎·烧鸟,https://www.dianping.com/shop/H4nN4nR43Zs82Yl7,霄云路27号庆安大厦3层3103,[北京],"116.464822,39.959417",13581958913,2022/9/29 8:45,25.01 km,39 min,25.75 km,92 min,6.99 km,39 min
弘彩英·延吉烤肉大排档,https://www.dianping.com/shop/l1GgP3tBHINxNqMk,农展馆北路10号楼258生活广场3层,[北京],"116.467184,39.943934",13269227656,2022/9/29 8:42,22.67 km,41 min,25.14 km,83 min,27.34 km,95 min
喜乐铺炸货,https://www.dianping.com/shop/EzFag3shDEHPeeVy,方砖厂胡同2号（什刹海地铁站A1西北口步行370米）,[北京],"116.399829,39.938072",15901015891,2022/9/29 0:13,17.57 km,46 min,20.04 km,76 min,8.93 km,40 min
嗨嗨烧烤,https://www.dianping.com/shop/l7lFvXh5Ucs6nx70,月华路与环海西路交叉口,[大理市],"100.186298,25.714278",15125275272,2022/9/28 9:03,,,,,,
门框锅贴涂,https://www.dianping.com/shop/EK044kkgcSjZLmc9,廊房二条78号,[北京],"116.395418,39.896929",13452229781,2022/9/28 0:13,25.77 km,47 min,24.99 km,98 min,7.36 km,29 min
洪福亮酒家,https://www.dianping.com/shop/ifpfPfouLtd1SZ7m,南草厂街91号,[北京],"116.363250,39.937668",13520437782,2022/9/26 11:48,17.35 km,28 min,19.77 km,69 min,14.04 km,51 min
Dr.Blu按个肩吧·疼痛调理·体态矫正,https://www.dianping.com/shop/H16UafNpExpLB9YP,启阳路望京绿地中心B座商业街B1-210（地下一层）,[北京],"116.486760,40.000998",18519512316,2022/9/25 11:38,20.01 km,42 min,22.01 km,80 min,12.95 km,58 min
盡膳口福跷脚牛肉火锅,https://www.dianping.com/shop/H8Mmo4rfndyRELNQ,三里屯路19号院太古里南区1号楼3层S1-30c单元,[北京],"116.453581,39.935601",13671299193,2022/9/19 23:36,23.67 km,47 min,26.14 km,92 min,Error,Error
盡膳口福跷脚牛肉火锅,https://www.dianping.com/shop/l5eBveu3TU5dSK5m,建国门外大街1号国贸商城北区六层NL6002,[北京],"116.460554,39.912250",15010322295,2022/9/19 23:36,25.37 km,53 min,27.84 km,98 min,Error,Error
红馆,https://www.dianping.com/shop/k9tXNJaSo8MOzpML,建国门外大街1号国贸商城北区西段N17号门入口4层,[北京],"116.458415,39.912899",85716486,2022/9/19 13:14,25.63 km,93 min,27.99 km,99 min,Error,Error
鳗鱼王,https://www.dianping.com/shop/G8TY4EmAMp1Q0ZH1,遵义南路88号协泰中心二楼,[上海],"121.406325,31.204193",16601801085,2022/9/14 12:05,,,,,,
鸟小屋·烧鸟·居酒屋,https://www.dianping.com/shop/H3hoWVehmQ7TtPzo,好运街1-19号地下2层,[北京],"116.471351,39.950933",18830763869,2022/9/13 19:34,26.67 km,43 min,27.42 km,96 min,Error,Error
余味菜馆,https://www.dianping.com/shop/i4PJfQPuF9lqo821,滨兴路滨兴小区173号商铺,[杭州],"120.199459,30.192827",13588078153,2022/9/13 19:21,,,,,,
红炉鲜酥·绿豆酥饼,https://www.dianping.com/shop/ladqLHuP8nwsdFwQ,团结湖24号楼,[北京],"116.467568,39.929852",18500710991,2022/9/11 21:13,23.68 km,45 min,26.15 km,91 min,Error,Error
粤小馆,https://www.dianping.com/shop/G4QJKIiq1AvLHZUy,朝阳门南小街143号-1,[北京],"116.426174,39.919827",65289755,2022/9/11 20:58,21.47 km,48 min,23.94 km,96 min,Error,Error
粤小馆,https://www.dianping.com/shop/iwLUWj7hz0QsP3s8,北京诺富特和平宾馆3-3,[北京],"116.415521,39.915953",15101063790,2022/9/11 20:58,20.99 km,48 min,23.46 km,90 min,Error,Error
九龙冰室,https://www.dianping.com/shop/G5af2eCZpqclWH7R,中关村大街19号新中关购物中心B1层B125号,[北京],"116.315620,39.978350",82828352,2022/9/11 20:39,10.07 km,22 min,10.55 km,45 min,Error,Error
TBS美式三明治工坊,https://www.dianping.com/shop/H8YSLwQq5Xb9bwGs,宝钞胡同63号福荣记二楼,[北京],"116.399614,39.943515",18401290854,2022/9/11 12:29,17.36 km,36 min,19.83 km,72 min,Error,Error
呀哈哈·主机游戏party·PS5 Switch XBOX,https://www.dianping.com/shop/l5w9mLTZkcFdhCIR,苏州街33号公寓1010,[北京],"116.305796,39.976646",13021003792,2022/9/11 12:14,8.87 km,21 min,11.57 km,40 min,Error,Error
闹忙膘局,https://www.dianping.com/shop/k7CvLEN6WVa1wl49,朝阳门外大街6号新城国际1号楼底商101A（世贸天阶以东）,[北京],"116.452017,39.916492",,2022/9/9 20:56,26.19 km,55 min,28.66 km,100 min,Error,Error
肖四女乐山跷脚牛肉,https://www.dianping.com/shop/G7ON0qb2cwcrhWz4,学院路乙9号院1号楼一层,[北京],"116.352197,39.999696",82398088,2022/9/9 20:06,18.68 km,29 min,18.66 km,76 min,Error,Error
和颜一美医疗美容,https://www.dianping.com/shop/k6TuIISYIUtTQNyt,广渠路23号院2号楼1至2层（大郊亭地铁站B东北口）,[北京],"116.488093,39.893464",17710150103,2022/9/9 18:06,32.44 km,63 min,39.64 km,123 min,Error,Error
三羽雀,https://www.dianping.com/shop/l45BcOBzTZEyP4Vz,东三环北路三源里北小街8号（月山日本料理隔壁）,[北京],"116.455999,39.956255",15210667321,2022/9/8 19:07,20.12 km,35 min,22.59 km,73 min,Error,Error
碗底挑•湖南小炒粉面饭,https://www.dianping.com/shop/l9egmlurKOHgqdPm,SOHO现代城南区,[北京],"116.474658,39.907269",17531001862,2022/9/7 18:07,32.32 km,59 min,29.71 km,104 min,Error,Error
尼岔土家民族菜,https://www.dianping.com/shop/laS23YeDLTx7HUxJ,杨梅竹斜街133号,[北京],"116.389592,39.895036",18519757830,2022/9/7 12:59,26.03 km,49 min,25.25 km,99 min,7.71 km,32 min
Tapas by Alba,https://www.dianping.com/shop/H5dJKWca77yRiimD,鼓楼东大街267号,[北京],"116.398387,39.940915",13120330587,2022/9/6 18:25,16.95 km,34 min,19.42 km,69 min,9.47 km,44 min
憨吉台湾小馆,https://www.dianping.com/shop/H2eKpjSWDBFREHRf,德茂街18号院负一层西31号,[北京],"116.443964,39.773934",13718166607,2022/9/6 12:13,44.65 km,57 min,63.84 km,121 min,20.93 km,49 min
梅潭村·糕饼铺·伴手礼,https://www.dianping.com/shop/G1qAH2n3ZibKlwEB,地安门外大街42号,[北京],"116.396171,39.939361",18511977268,2022/9/5 11:17,17.68 km,38 min,20.15 km,75 min,9.24 km,43 min
雀食SPARROW,https://www.dianping.com/shop/G67vpfjcOJIwSxA2,安定门内大街66-1号,[北京],"116.407980,39.947267",13953507589,2022/9/5 3:16,17.63 km,32 min,20.10 km,71 min,11.09 km,40 min
博多一幸舍,https://www.dianping.com/shop/k1T4KdK66zIN4fDN,东大桥路9号侨福芳草地购物中心LG2层,[北京],"116.448868,39.919535",85619618,2022/9/4 23:43,29.43 km,50 min,26.98 km,92 min,3.54 km,16 min
松哥炸鸡·脑花肥肠饼,https://www.dianping.com/shop/k19miaWKtCXLz93C,马家堡东路与临泓路交叉口东行150米路南,[北京],"116.397592,39.844259",13466337631,2022/9/1 22:35,31.04 km,48 min,33.75 km,102 min,Error,Error
ZOODLE吃面喝酒,https://www.dianping.com/shop/G8FZcOu4GMuxZxo5,金汇路9号中骏世界城D座1层（楠火锅旁边）,[北京],"116.451806,39.917822",17610512658,2022/9/1 22:03,26.25 km,55 min,28.73 km,101 min,Error,Error
本气家拉面·酒馆,https://www.dianping.com/shop/k40qnl2cd4xxGSpj,甜水园街中央公园广场底商A7-10号,[北京],"116.626553,40.322072",65852880,2022/9/1 20:35,29.46 km,57 min,30.21 km,108 min,Error,Error
福元子手作汤圆元宵,https://www.dianping.com/shop/ka6DZZ9rlqnsadlj,廊房二条78号,[北京],"116.395418,39.896929",17896002029,2022/9/1 12:03,25.77 km,47 min,24.99 km,98 min,Error,Error
食之六七·面馆,https://www.dianping.com/shop/k4UCQjB4UBCX69XC,东华门街道王府井大街269号王府中环东座4层401B号,[北京],"116.409326,39.912564",13910670512,2022/9/1 12:02,20.77 km,47 min,23.24 km,88 min,Error,Error
鲜锦记潮汕牛肉火锅,https://www.dianping.com/shop/H5wfUfJV9v9aW00u,南礼士路7-5号,[北京],"116.352273,39.914599",18611673629,2022/9/1 11:19,18.56 km,34 min,21.44 km,77 min,10.51 km,43 min
蒙料·手把肉,https://www.dianping.com/shop/G1fFnTDX4RGiR3MC,阜通东大街花家地小区30号楼底商（望京医院斜对面）,[北京],"116.473094,39.982433",64791331,2022/9/1 10:05,24.68 km,37 min,25.43 km,91 min,Error,Error
FRESCO翡酷牛排餐厅,https://www.dianping.com/shop/G2JHmirYLOVGIWDf,东直门外大街27-5层,[北京],"116.445252,39.941535",15510137888,2022/9/1 9:57,27.20 km,41 min,24.74 km,78 min,6.21 km,40 min
李家特色小炒泡馍,https://www.dianping.com/shop/H5zhORm8BBpbaxP7,大莲花池街61号莲湖公园东门对面（梦之城幼儿园门口）,[西安],"108.943041,34.268727",13072910087,2022/8/31 21:25,,,,,,
学习巷小马烤肉,https://www.dianping.com/shop/l1ttkJX69FzPNuhc,西大街大学习巷内100米,[西安],"108.936187,34.260921",13359222530,2022/8/31 21:20,,,,,,
惠记粉汤羊血,https://www.dianping.com/shop/l9GFiVaRbHjhi3sF,报恩寺街3号,[西安],"108.935354,34.252567",88986418,2022/8/31 21:19,,,,,,
且停精品咖啡,https://www.dianping.com/shop/H8zXXcaOsJYjDuTA,太阳庙门18号,[西安],"108.937266,34.252331",18092902677,2022/8/31 21:19,,,,,,
鼓楼兰亭猪手火锅,https://www.dianping.com/shop/jdDF3yhLY77fBB6o,前门大栅栏商业街33号二层1号（稻香村楼上）,[北京],"116.231437,40.215674",63103663,2022/8/31 14:54,25.86 km,39 min,23.53 km,40 min,Error,Error
鼓楼兰亭猪手火锅,https://www.dianping.com/shop/FWz6oei0yr6A8Vo3,鼓楼东大街232号,[北京],"116.398778,39.940478",64039535,2022/8/31 14:53,17.05 km,35 min,19.52 km,69 min,Error,Error
索家羊肉泡馍,https://www.dianping.com/shop/G6qAQ4INo1OIPjne,东铁匠营街道南三环东路辅路格林豪泰底商,[北京],"116.442317,39.859115",18510131929,2022/8/31 14:40,34.99 km,52 min,34.51 km,112 min,Error,Error
老诚伊羊蝎子火锅,https://www.dianping.com/shop/H68iNAUL9fw3X7fW,牛街11号圣芳商厦一层,[北京],"116.363157,39.884929",58373556,2022/8/31 13:07,24.21 km,44 min,25.05 km,88 min,Error,Error
殷式羊蝎子·烤羊尾,https://www.dianping.com/shop/G4BCxKnEBtVm2OdL,西四北大街214号（华天延吉冷面对面）,[北京],"116.373475,39.926278",66155927,2022/8/31 12:59,19.39 km,33 min,20.48 km,74 min,Error,Error
伊藤ITO,https://www.dianping.com/shop/G9S3ybrjDNvxV4tI,东大桥路9号侨福芳草地购物中心LG2层-05单元,[北京],"116.448868,39.919535",85613757,2022/8/31 12:47,29.43 km,50 min,26.98 km,92 min,Error,Error
四川简阳羊肉汤火锅,https://www.dianping.com/shop/ibDwgRENRBVOLvBM,水碓子东里22号东侧,[北京],"116.475959,39.923431",85960990,2022/8/30 21:40,30.36 km,55 min,31.11 km,105 min,Error,Error
朴秀英韩国传统烤肉店,https://www.dianping.com/shop/k6qy9opvuSVNnkf2,花园路2号33号楼一层108,[北京],"116.367252,39.977539",62369551,2022/8/30 19:58,14.98 km,27 min,16.10 km,60 min,Error,Error
桂小鲜桂林米粉,https://www.dianping.com/shop/H1t5lP4wPWiQzZB0,西门金街A区1-102,[北京],"116.638399,39.905161",13051059931,2022/8/30 19:09,40.25 km,81 min,42.25 km,127 min,Error,Error
有礼有面,https://www.dianping.com/shop/k38aLF0iUWHhgSfo,知春路紫金数码园4号楼0109室,[北京],"116.336162,39.978578",18600268290,2022/8/29 20:34,9.67 km,27 min,14.76 km,58 min,Error,Error
平安锅贴,https://www.dianping.com/shop/G3u70Ui2imKbxzAf,朝阳北路水碓子小区3号楼下南平房,[北京],"116.470170,39.924520",13811887250,2022/8/28 16:51,31.11 km,57 min,27.13 km,96 min,Error,Error
再见，南国·台湾卤肉饭,https://www.dianping.com/shop/H9FoMF0IcaKRTYMf,宋庄镇小堡村小堡南街101号北门,[北京],"116.719414,39.946851",18601251357,2022/8/28 16:40,49.91 km,70 min,51.91 km,117 min,25.42 km,75 min
轻松客中医推拿Chinese Massage,https://www.dianping.com/shop/l5t4Y4oXGzUkLxJt,苏州街苏州街33号公寓501（五楼电梯旁走廊右侧）,[北京],"116.305764,39.976723",13001217988,2022/8/27 15:07,8.87 km,21 min,11.57 km,40 min,Error,Error
丝域养发馆,https://www.dianping.com/shop/H2gSiTGShfO34hmI,农大南路北京华联上地购物中心F2-13A,[北京],"116.311240,40.028589",82788668,2022/8/26 17:51,2.06 km,9 min,4.13 km,20 min,28.69 km,90 min
安舍AN·SPA·Massage手法按摩,https://www.dianping.com/shop/l8KCU620boWxWHmD,建国路89号院华贸4号商务楼702室（近skp、丽思卡尔顿、JW万豪酒店）,[北京],"116.481620,39.910314",17812261072,2022/8/26 17:45,31.37 km,56 min,32.12 km,108 min,2.92 km,19 min
陈氏推拿盲人按摩,https://www.dianping.com/shop/k8z1KFp29YaDfnDi,酒仙桥路甲16号星泰中心二层B208号（将台地铁站B口吉野家入口二楼）,[北京],"116.491672,39.972040",53323322,2022/8/26 17:42,25.47 km,49 min,26.22 km,105 min,11.82 km,39 min
青小山 Food Sake,https://www.dianping.com/shop/Ga8Tj98JOuiLypuA,朝阳门外大街6号新城国际公寓11号楼102商铺,[北京],"116.454128,39.916922",65970499,2022/8/23 12:51,25.36 km,53 min,27.83 km,99 min,1.99 km,11 min
齐齐哈尔·三克油碳火烤肉,https://www.dianping.com/shop/H12mbWYldK6Wb2YP,风雅园二区3号楼1层04,[北京],"116.322371,40.082454",87805677,2022/8/19 22:08,9.43 km,28 min,8.70 km,38 min,Error,Error
EQ-Librium Bistro,https://www.dianping.com/shop/G51zJdjcT7OrXf8P,大院胡同16号,[北京],"116.371659,39.920820",18519580306,2022/8/13 13:58,20.04 km,36 min,21.13 km,79 min,Error,Error
牛丰杰红油米线,https://www.dianping.com/shop/k9pZDIdnqsVMbJtN,双仁府5号楼17号,[西安],"108.930204,34.252684",15502962835,2022/8/12 12:47,,,,,,
禾苑·台州鱼市,https://www.dianping.com/shop/G8ckRK381c6W6JoL,金城坊街3号F4C(L2商业C)、F4C(L1+L2)-1,[北京],"116.363118,39.916492",66552992,2022/8/12 12:44,20.19 km,35 min,21.41 km,77 min,Error,Error
花满林 SiChuan Fusion Tapas,https://www.dianping.com/shop/k3HcUeeA4oUEhSiP,南京西路1168号中信泰富广场LG层B22号,[上海],"121.455470,31.227972",13321887127,2022/8/11 12:42,,,,,,
AKIMOTO秋本寿司,https://www.dianping.com/shop/G39fhUnjvJ6BNQgA,百子湾路与西大望路交叉口西行70米路北,[北京],"116.477599,39.900468",67770542,2022/8/6 12:28,32.26 km,59 min,33.00 km,114 min,Error,Error
郇厨·吉堂上海本帮菜,https://www.dianping.com/shop/k5SHLcPyqKujsIII,霄云路28号网信大厦B座1层底商,[北京],"116.465490,39.958835",84868865,2022/8/4 21:16,24.97 km,39 min,25.72 km,91 min,Error,Error
庄严巷大刀涮肉,https://www.dianping.com/shop/l9f3eviUiMJrjsfQ,长安北路中贸广场美食街2楼东侧,[西安],"108.945447,34.243123",18592003771,2022/8/1 19:21,,,,,,
Marina牛排屋·干式熟成牛排,https://www.dianping.com/shop/G8Eqj880cEfJKnCb,现代城西路东郎电影创意产业园内,[北京],"116.473365,39.906835",65266876,2022/8/1 18:59,27.30 km,57 min,29.77 km,104 min,Error,Error
懒人业余餐厅,https://www.dianping.com/shop/k9NjvhiH43LtGmgK,顺白路/一号地艺术园D区内/大犀牛处闸口入内/内设停车场,[北京],,64321966,2022/8/1 18:55,Error,Error,Error,Error,Error,Error
GLORY·Cafe&Bar,https://www.dianping.com/shop/l6ds2lo3uZbEHfyr,余姚路66号,[上海],"121.443599,31.236383",31182838,2022/7/31 10:22,,,,,,
安村焼肉,https://www.dianping.com/shop/l4w1rfmJzjciLWgG,虹桥街道兴义路48号新世纪广场C座3层（近娄山关路）,[上海],"121.403429,31.204478",52950218,2022/7/31 10:21,,,,,,
余婆炸鸡,https://www.dianping.com/shop/G7vTv2Funr44vBfZ,东直门内大街227号北新桥地铁商业大厦1层12号,[北京],"116.417164,39.941624",15131205016,2022/7/29 20:06,19.02 km,36 min,21.49 km,80 min,Error,Error
余婆炸鸡,https://www.dianping.com/shop/l5ajG867EE3wM6ei,安德路55号迤西,[北京],"116.398269,39.951603",13811661263,2022/7/29 20:06,16.28 km,31 min,18.75 km,62 min,Error,Error
食里九香烧烤,https://www.dianping.com/shop/H86h12nLrzm9EkCc,神路街39号10幢1至2层2段6室,[北京],"116.443582,39.918987",18511146277,2022/7/24 13:27,23.70 km,47 min,26.17 km,106 min,Error,Error
